# Data for Figure 3 from B. Forrest, et al., 2016.
# 
# Values are provided for 31 star-forming composite SEDs
#
# IRX = F(8-1000um) / F(0.16um)
# F = C*lambda^beta from 0.15um to 0.26um
# Errors are calculated by constructing 100 bootstrapped composites
#  for each composite below and analyzing the spread of IRX and beta
#  in those bootstrapped composites.
#
#   IRX         e_IRX     beta   e_beta
    5.38266    0.59049   -1.39   0.04
    6.60000    0.74081   -1.34   0.05
    12.3277    1.40302   -1.16   0.06
    2.82314    0.83204   -1.56   0.05
    16.7620    1.16918   -1.05   0.06
    21.1533    2.05723   -0.91   0.05
    23.5962    3.72449   -0.72   0.07
    3.51878    0.89945   -1.66   0.08
    9.02196    1.09403   -1.28   0.07
    7.29635    1.65972   -1.18   0.05
    23.7362    1.86121   -0.96   0.07
    65.6134    14.1103   -0.15   0.12
    12.9924    0.96986   -1.18   0.11
    51.3597    10.1881   -0.73   0.09
    751.327    180.187    1.10   0.38
    47.9920    5.24681   -0.71   0.11
    3.17946    0.31444   -1.53   0.05
    36.0358    4.78139   -0.90   0.13
    53.4101    10.9332   -0.39   0.13
    50.6195    52.6588   -0.45   0.18
    18.7618    2.31622   -1.14   0.06
    269.032    70.8307   -0.13   0.31
    37.3695    5.75330   -0.64   0.09
    15.8754    4.46040   -0.92   0.08
    144.270    57.8827    0.11   0.29
    13.6085    1.36153   -0.96   0.06
    279.451    63.0484    0.21   0.44
    46.6357    6.09396   -0.81   0.16
    47.8108    28.3990   -0.53   0.25
    5.62351    0.70504   -1.29   0.05
    84.8961    24.0532   -0.75   0.15
